,gender,name,id,known_for_department,popularity
nm0892044,2,Anthony Veiller,67447,Writing,1.4
nm0122180,0,Ben Lucien Burman,1202333,Writing,0.6
nm0000731,2,Brian Aherne,32923,Acting,3.202
nm0881148,0,Gladys Unger,1152714,Writing,1.586
nm0171924,2,John Collier,115553,Writing,0.766
nm0533283,0,Compton MacKenzie,149337,Writing,0.98
nm0457954,2,Sôji Kiyokawa,134260,Acting,1.788
nm0645676,2,Denjirō Ōkōchi,134256,Acting,1.4
nm0945468,2,Reisaburō Yamamoto,118176,Acting,0
nm0945537,0,Sadao Yamanaka,909996,Directing,1.094
nm0590839,2,Shintarô Mimura,1069169,Writing,1.62
nm1156001,0,Gorô Nishi,1201043,Sound,0.6
nm0946674,0,Jun Yasumoto,1063916,Camera,0.6
nm0812286,0,Minoru Takase,1121629,Acting,0.84
nm0256534,1,Fern Emmett,88999,Acting,1.4
nm0033163,0,Masao Arata,1102160,Writing,0.828
nm0394722,2,Keizo Horiuchi,1092923,Sound,0.6
nm0391750,2,Ben Holmes,133224,Directing,1.4
nm0778818,2,Allan Scott,1082918,Writing,0.652
nm0267022,0,Sándor Faragó,30167,Writing,1.4
nm0005760,2,Günther Krampf,9837,Camera,0.997
nm0445827,0,Bernhard Kellermann,33063,Writing,0.98
nm0802561,2,Curt Siodmak,5028,Writing,1.631
nm0668729,0,L. du Garde Peach,106632,Writing,1.4
nm0374702,2,Stuart Heisler,81285,Directing,1.708
nm0826479,1,Anna Sten,108719,Acting,1.054
nm0354531,2,Karl Hajos,134806,Sound,1.4
nm0365255,2,Robert Harris,1598612,Writing,0.6
nm0827031,2,Harvey Stephens,114097,Acting,1.566
nm0335455,2,James Edward Grant,50302,Writing,1.75
nm0152191,0,Robert Chapin,1170773,Writing,1.09
nm0232571,2,James Donlan,590533,Acting,0.98
nm0410467,0,Wallace Irwin,1024880,Writing,0.6
nm0925212,2,Merrill G. White,70568,Editing,0.6
nm0310723,2,Peter Gawthorne,97217,Acting,0
nm0954394,2,Alfred Zeisler,46520,Directing,1.614
nm0649155,0,E. Phillips Oppenheim,1144697,Writing,1.4
nm0005968,2,Werner Bochmann,13386,Sound,0.98
nm0005740,2,Otto Heller,29893,Camera,1.96
nm0006157,2,Erich Wolfgang Korngold,67429,Sound,1.38
nm0020574,0,Hervey Allen,930500,Writing,0.6
nm0471341,2,Milton Krims,130933,Writing,0.98
nm0299397,1,Kaoru Futaba,1063888,Acting,0.694
nm0879945,2,Ken Uehara,134629,Acting,1.614
nm1688351,0,Einosuke Naka,1092927,Acting,0.6
nm0476673,1,Michiko Kuwano,1063890,Acting,0.84
nm0793646,2,Hiroshi Shimizu,233660,Directing,1.947
nm0442704,2,Yasunari Kawabata,46625,Writing,2.268
nm0031813,2,Isamu Aoki,1092926,Camera,1.4
nm1968057,0,Mayumi Tsukiji,1092928,Acting,0.6
nm0006338,0,William Walton,119339,Sound,0.6
nm0074949,1,Elisabeth Bergner,36942,Acting,1.4
nm0000059,2,Laurence Olivier,3359,Acting,3.385
nm0829838,1,Sophie Stewart,33272,Acting,1.38
nm0014680,0,Henry Ainley,1328078,Acting,0.6
nm0194492,2,Paul Czinner,940754,Directing,0.694
nm0191524,2,Robert Cullen,72868,Writing,0.6
nm0436562,0,Alexandre Kamenka,1021827,Production,0.652
nm0697512,1,Suzy Prim,213448,Acting,1.258
nm0392447,1,Jany Holt,146566,Acting,0.6
nm0331003,2,Maxim Gorky,213447,Writing,1.048
nm0759866,0,Yevgeni Zamyatin,1292811,Writing,0.694
nm0173952,2,Jacques Companéez,58232,Writing,1.96
nm0738780,1,Viviane Romance,39471,Acting,1.4
nm0632946,0,Arys Nissotti,1498380,Production,0.6
nm0951218,0,Maurice Yvain,1311965,Sound,0.6
nm0287610,2,Marc Fossard,39140,Camera,1.932
nm0801184,2,Robert L. Simpson,8505,Editing,0.98
nm0682074,2,Walter Pidgeon,12308,Acting,1.812
nm0634313,2,Lloyd Nolan,19411,Acting,2.208
nm0360127,2,Bert Hanlon,535498,Acting,1.4
nm0166022,2,George T. Clemens,1243279,Camera,0.6
nm0792130,1,Ann Sheridan,80994,Acting,1.555
nm0639895,1,Erin O'Brien-Moore,93698,Acting,1.166
nm0603875,2,Antonio Moreno,30555,Acting,1.305
nm0191901,2,Jack Cummings,21507,Production,1.4
nm0146185,2,Walter Catlett,13819,Acting,2.705
nm0937149,0,H.C. Witwer,1167719,Writing,0.6
nm0838843,2,Slim Summerville,2016,Acting,2.12
nm0001171,2,Buddy Ebsen,1935,Acting,0.766
nm0723840,1,Laura E. Richards,227026,Writing,0.98
nm0461549,2,Patric Knowles,8726,Acting,3.247
nm0855139,0,Alfred Lord Tennyson,142216,Writing,0.6
nm0415004,0,Michael Jacoby,142217,Writing,1.564
nm0500284,0,Rowland Leigh,31967,Writing,1.4
nm0873312,0,Alex Troffey,1306745,Editing,0.6
nm0525601,2,Keye Luke,16103,Acting,1.646
nm0570222,0,John McGuire,83621,Acting,1.566
nm0213047,1,Shirley Deane,120815,Acting,1.4
nm0201405,0,Scott Darling,30127,Writing,1.4
nm0253892,2,Saul Elkins,111417,Production,1.646
nm0789032,1,Helen Wood,120820,Acting,0.6
nm0493005,1,Rosina Lawrence,119902,Acting,1.388
nm0703491,2,Charles Quigley,97222,Acting,1.397
nm0189093,1,Henrietta Crosman,118265,Acting,1.048
nm0928781,2,Gordon Wiles,94166,Art,0.652
nm0388976,2,Joseph Hoffman,120465,Writing,1.03
nm0002068,1,Frances Farmer,116640,Acting,1.708
nm0933333,1,Dorothy Wilson,145826,Acting,1.166
nm0446403,2,George Kelly,43854,Writing,0.6
nm0064497,1,Marguerite Renoir,11532,Editing,0.6
nm0282653,1,Florelle,32006,Acting,1.4
nm0077598,2,Jules Berry,97251,Acting,2.573
nm0529695,2,Marcel Lévesque,102848,Acting,1.4
nm0699535,2,Jacques Prévert,25162,Writing,1.02
nm0045404,2,Jean Bachelet,11530,Camera,0.6
nm0401123,0,Marthe Huguet,11531,Editing,0.6
nm0265815,2,Willy Faktorovitch,51621,Camera,0.6
nm0496644,0,Roger Ledru,1318779,Camera,0.6
nm0844459,2,Hans Székely,222668,Writing,1.4
nm0653188,1,Rafaela Ottiano,103490,Acting,0.6
nm0498584,2,Herbert I. Leeds,120776,Directing,1.7
nm0448836,0,Robert Kent,26029,Acting,1.4
nm0943753,2,Robert Wyler,11996,Production,0.98
nm0390192,1,Gloria Holden,100779,Acting,1.4
nm0161451,1,Marguerite Churchill,97005,Acting,1.708
nm0888000,2,Edward Van Sloan,1550,Acting,1.579
nm0385171,0,Lambert Hillyer,34796,Directing,1.646
nm0005867,2,Eugen Schüfftan,1758,Camera,0.6
nm0001922,2,Jean-Pierre Aumont,18766,Acting,1.312
nm0138893,2,Marcel Carné,25161,Directing,2.338
nm0167202,0,J. Storer Clouston,1349479,Writing,0.6
nm0089314,0,Eric Blore,30184,Acting,2.713
nm0225458,0,Basil Dickey,33375,Writing,1.4
nm0736939,1,Jean Rogers,33360,Acting,1.4
nm0585481,2,Charles Middleton,30017,Acting,1.4
nm0493305,1,Priscilla Lawson,33361,Acting,1.052
nm0826873,2,Frederick Stephani,33364,Writing,1.4
nm0853028,2,Ray Taylor,33377,Directing,1.4
nm0713204,0,Alex Raymond,33313,Writing,0.6
nm0642150,0,Ella O'Neill,33373,Writing,1.313
nm0687741,2,George H. Plympton,33374,Writing,1.274
nm0384948,1,Harriet Nelson,108702,Acting,1.96
nm0651661,0,Hubert Osborne,1192599,Writing,0.6
nm0513858,0,Lew Lipton,122970,Writing,1.052
nm0005853,2,Joseph Ruttenberg,14678,Camera,0.98
nm0008496,2,Walter Abel,77114,Acting,2.682
nm0000077,2,Franz Waxman,8619,Sound,1.4
nm0521300,1,Tilly Losch,125483,Acting,1.214
nm0382562,0,Robert Hichens,53795,Writing,1.22
nm0726704,0,Lynn Riggs,98752,Writing,1.052
nm0848667,2,Akim Tamiroff,30719,Acting,2.016
nm0644048,2,Clifford Odets,14567,Writing,2.207
nm0095660,0,Charles G. Booth,127575,Writing,1.052
nm0418205,2,Werner Janssen,117854,Sound,0.6
nm0757119,1,Tatsuko Sakane,1029784,Editing,0.6
nm0945222,1,Isuzu Yamada,33761,Acting,1.96
nm0880861,0,Yôko Umemura,134682,Acting,0.694
nm0793337,0,Benkei Shiganoya,1029781,Acting,0.98
nm0793879,2,Eitarô Shindô,122430,Acting,1.96
nm0003226,2,Kenji Mizoguchi,97202,Directing,2.008
nm0475520,0,Aleksandr Kuprin,1029783,Writing,0.84
nm0406808,2,Yoshikata Yoda,134343,Writing,2.192
nm0619211,2,Masaichi Nagata,7459,Production,0.828
nm0586522,2,Minoru Miki,46233,Camera,1.4
nm0602005,2,Victor Moore,125364,Acting,1.4
nm0537363,2,Richard Maibaum,9858,Writing,2.986
nm0354117,2,George Haight,19405,Production,0.6
nm0400490,1,Carol Hughes,119541,Acting,1.546
nm0035158,2,Michael Arlen,133338,Writing,1.4
nm0604453,0,Ainsworth Morgan,1176920,Writing,0.6
nm0043081,2,Stephen Morehouse Avery,121676,Writing,1.4
nm0533764,2,Douglas MacLean,1009637,Production,1.22
nm0121707,2,James Burke,14453,Acting,1.4
nm0112395,2,Edward Brophy,32437,Acting,2.031
nm0090007,2,John G. Blystone,10516,Directing,1.052
nm0750822,0,Harry Ruskin,33029,Writing,1.052
nm0707023,1,Luise Rainer,125482,Acting,1.4
nm0570305,0,William Anthony McGuire,149117,Writing,1.4
nm0002270,2,Rex Ingram,1276503,Acting,0.694
nm0689318,2,Oscar Polk,11499,Acting,0.6
nm0026655,2,"Eddie ""Rochester"" Anderson",98571,Acting,1.05
nm0175091,2,Marc Connelly,40192,Writing,0.98
nm1511282,0,Eiichi Hasegawa,1115037,Editing,0.6
nm0385443,2,Shinichi Himori,33767,Acting,1.4
nm0370574,0,Masao Hayama,145252,Acting,1.614
nm0411881,0,Senji Itô,993312,Sound,0.84
nm0252475,2,Hasse Ekman,145691,Writing,0.6
nm0000006,1,Ingrid Bergman,4111,Acting,2.373
nm0252472,2,Gösta Ekman,578532,Acting,2.223
nm0862727,0,Inga Tidblad,557747,Acting,1.092
nm0074698,2,Erik 'Bullen' Berglund,34786,Acting,1.708
nm0596410,2,Gustaf Molander,550754,Directing,1.394
nm0828436,0,Gösta Stevens,34765,Writing,2.268
nm0197146,2,Åke Dahlqvist,34767,Camera,0.694
nm0085021,2,Hugo Björne,557052,Acting,1.543
nm0377613,2,Anders Henrikson,550133,Acting,1.623
nm0732648,2,George Robinson,29635,Camera,1.018
nm0601086,0,Daniel Moore,1128244,Writing,0.6
nm0782707,2,George B. Seitz,89749,Directing,1.87
nm0178126,2,James Fenimore Cooper,57450,Writing,0.6
nm0673585,0,Paul Perez,1128243,Writing,1.4
nm0838395,0,Wallace Sullivan,133729,Writing,0.6
nm0182537,1,Dolores Costello,14515,Acting,1.806
nm0122364,0,Frances Hodgson Burnett,68690,Writing,1.219
nm0000061,2,Tyrone Power,10922,Acting,3.277
nm0454771,2,Henry King,37362,Directing,1.286
nm0664251,2,Ernest Pascal,97019,Writing,1.4
nm0448985,0,Curtis Kenyon,167903,Writing,1.052
nm0167065,0,Harry Clork,1090265,Writing,1.4
nm0003110,2,Cesar Romero,4355,Acting,2.046
nm0485943,2,Walter Lang,80570,Directing,1.788
nm0049903,0,Faith Baldwin,1007703,Writing,0.728
nm0403391,1,Gladys Hurlbut,132255,Acting,1.623
nm0337588,0,Alan Green,117044,Writing,0.6
nm0213164,2,R. E. Dearing,14295,Editing,0.6
nm0496819,1,Anna Lee,88460,Acting,1.4
nm0517058,2,John Loder,29127,Acting,1.4
nm0148144,2,Frank Cellier,3675,Acting,1.052
nm0829038,2,Robert Stevenson,5834,Directing,1.819
nm0319148,2,Sidney Gilliat,14292,Writing,1.4
nm0910498,2,Douglas Walton,2928,Acting,1.176
nm0329574,2,Leslie Goodwins,103346,Directing,0.938
nm0480829,0,Yolande Laffon,223228,Acting,1.4
nm0514822,2,Anatole Litvak,37361,Directing,1.4
nm0029370,0,Claude Anet,1097776,Writing,0.6
nm0450262,2,Joseph Kessel,9748,Writing,0.84
nm0902121,1,Irma von Cube,234675,Writing,0.652
nm0305087,2,Al Ernest Garcia,13855,Acting,1.4
nm0002104,1,Paulette Goddard,14027,Acting,2.503
nm0074788,2,Henry Bergman,14438,Acting,2.086
nm0761866,2,Tiny Sandford,30194,Acting,0.648
nm0003424,2,Hank Mann,13856,Acting,1.705
nm0090008,2,Stanley Blystone,30196,Acting,0.968
nm0241523,2,Douglass Dumbrille,34748,Acting,1.048
nm0051628,2,George Bancroft,13555,Acting,1.435
nm0005898,2,Ted Tetzlaff,4346,Camera,1.052
nm0368719,0,Eric Hatch,74660,Writing,1.4
nm0847066,0,Kôichi Takagi,1334612,Directing,1.4
nm0645825,0,Chiyoko Ôkura,1195178,Acting,0.6
nm0038320,0,Shinpachirô Asaka,1195179,Acting,0.618
nm0297884,0,Tadashi Fujiwara	,135465,Writing,0.6
nm0645432,0,Saburo Okada,135464,Writing,0.6
nm0422382,2,Jack Jevne,141061,Writing,0.995
nm0866010,2,Sidney Toler,34747,Acting,1.4
nm0414669,2,W.W. Jacobs,131688,Writing,0.6
nm0216263,0,Charles Delaney,1145709,Acting,1.396
nm0418363,1,Lois January,163365,Acting,1.008
nm0535006,2,Noel Madison,96058,Acting,3.604
nm0111355,1,Sheila Bromley,99827,Acting,2.621
nm0072916,0,Dean Benton,1023477,Acting,0.997
nm0640248,0,William A. O'Connor,121283,Directing,1.4
nm0448883,0,Willis Kent,1010136,Production,0.652
nm0005728,2,Jack Greenhalgh,108431,Camera,0.6
nm0865179,2,Holbrook N. Todd,52182,Editing,0.6
nm0512264,1,Lois Lindsay,1287805,Acting,0.6
nm0685876,2,Robert Pittack,986329,Camera,0.6
nm0271515,1,Edith Fellows,174992,Acting,1.4
nm0001918,2,Louis Armstrong,82280,Acting,2.268
nm0601443,0,Katherine Leslie Moore,1223518,Writing,0.6
nm0710299,2,William Rankin,960023,Writing,1.4
nm0169355,2,Emanuel Cohen,1027221,Production,0.6
nm0177960,0,Courtney Ryley Cooper,1422735,Writing,0.6
nm0255199,2,James Ellison,97037,Acting,1.998
nm0269647,1,Alice Faye,94928,Acting,1.655
nm0355095,2,Jack Haley,9070,Acting,1.208
nm0309557,0,Eleanor Gates,1363927,Writing,0.6
nm0234692,1,Catherine Doucet,102062,Acting,1.4
nm0888144,1,Virginia Van Upp,34369,Writing,0.694
nm0232704,1,Dorothy Donnelly,102076,Writing,0.6
nm0319257,2,Claude Gillingwater,150082,Acting,1.193
nm0615005,2,Jack Murray,30494,Editing,1.4
nm0492775,1,Gertrude Lawrence,552029,Acting,0.98
nm0152361,2,Edward Chapman,33267,Acting,1.582
nm0958454,2,Carl Zuckmayer,2900,Writing,0
nm0372148,0,June Head,1154789,Writing,0.6
nm0081841,0,Douglass Biggs	,231263,Editing,0.6
nm0831838,0,Dorothy Stone,90066,Acting,0.6
nm0415591,2,Dean Jagger,29313,Acting,2.19
nm0195460,2,Roy D'Arcy,90067,Acting,0.884
nm0634386,0,Robert Noland,90068,Acting,0.6
nm0516121,2,Rollo Lloyd,975120,Acting,0.728
nm0347589,2,Sacha Guitry,148082,Directing,1.4
nm0096005,0,Adolphe Borchard,579790,Sound,0.6
nm6407986,2,Marcel Lucien,1083433,Camera,0.6
nm0761304,0,Serge Sandberg,254996,Production,0.6
nm0097493,0,Myriam Borsoutsky,1093440,Editing,0.6
nm0427452,2,Allan Jones,10802,Acting,1.4
nm0002316,0,Alice D.G. Miller,1080345,Writing,0.6
nm0256532,0,E. V. H. Emmett,980520,Acting,0.6
nm0393028,2,Oskar Homolka,29661,Acting,1.4
nm0856469,2,Desmond Tester,102885,Acting,1.4
nm0175676,2,Joseph Conrad,8327,Writing,1.4
nm0801026,0,Helen Simpson,108626,Writing,0.652
nm0871546,2,Arthur Treacher,5831,Acting,1.4
nm0522848,2,Warren Low,18595,Editing,0.6
nm0489679,2,Jesse Lasky Jr.,27919,Writing,1.4
nm0000024,2,John Gielgud,11857,Acting,2.023
nm0228776,0,Campbell Dixon,27917,Writing,0.6
nm0005796,2,John J. Mescall,2940,Camera,0.6
nm0935415,2,Charles Winninger,83474,Acting,1.267
nm0310980,1,Janet Gaynor,9088,Acting,0.6
nm0404360,1,Josephine Hutchinson,2643,Acting,1.943
nm0172074,2,Pierre Collings,1170238,Writing,1.4
nm0792553,0,Richard Sherman,1192600,Writing,1.778
nm0331073,0,Herbert Gorman,145840,Writing,0.6
nm0662213,1,Dorothy Parker,30520,Writing,1.927
nm0780385,0,John Seabourne Sr.,543809,Editing,0.6
nm0805532,2,Tod Slaughter,125298,Acting,0.652
nm0722310,0,Stella Rho,938629,Acting,0.6
nm0801967,0,John Singer,37874,Acting,0.98
nm0454734,2,George King,105801,Directing,1.388
nm0371741,0,Frederick Hayward,1104735,Writing,0.98
nm0540763,2,H.F. Maltby,27947,Acting,1.38
nm1108961,2,George Dibdin-Pitt,1177622,Writing,0.6
nm0110813,1,Helen Broderick,30185,Acting,1.4
nm0512231,2,Howard Lindsay,149075,Writing,1.7
nm0118552,2,John Buckler,96742,Acting,0.6
nm0401729,1,Benita Hume,131726,Acting,1.4
nm0861703,2,Richard Thorpe,70862,Directing,1.764
nm0268513,2,John Farrow,50300,Directing,0.944
nm0795044,1,Dorothy Short,118630,Acting,1.4
nm0185924,0,Kenneth Craig,118631,Acting,0.6
nm0587178,0,Lillian Miles,118632,Acting,1.411
nm0639495,2,Dave O'Brien,118633,Acting,1.616
nm0309163,0,Louis J. Gasnier,121402,Directing,1.4
nm0574966,0,Lawrence Meade,121403,Writing,0.6
nm0388554,0,Arthur Hoerl,117682,Writing,1.148
nm0291515,0,Paul Franklin,121404,Writing,0.6
nm0386359,0,George A. Hirliman,121405,Production,0.6
nm0365561,2,Doane Harrison,3159,Editing,0.98
nm0828574,0,Louis Stevens,200567,Writing,1.4
nm0916324,0,Walter Prescott Webb,1128351,Writing,0.6
nm0728230,1,Elisabeth Risdon,99329,Acting,1.4
nm0593775,2,Thomas Mitchell,3383,Acting,1.605
nm2314820,1,Mary McCarthy,145969,Writing,0.997
nm0583301,2,Otto Meyer,34232,Editing,0.6
nm0187769,2,Charles Crichton,8929,Directing,1.4
nm0724732,2,Ralph Richardson,12689,Acting,2.313
nm0779540,1,Margaretta Scott,33268,Acting,0.6
nm0088495,2,Arthur Bliss,33258,Sound,0.6
nm0477437,2,Peter B. Kyne,96772,Writing,2.086
nm0467396,2,Henry Koster,33064,Directing,1.838
nm0173532,1,Adele Comandini,115869,Writing,1.38
nm0206010,0,Isabel Dawn,591942,Writing,1.623
nm0214668,0,Boyce DeGaw,1266814,Writing,1.38
nm0000020,2,Henry Fonda,4958,Acting,3.445
nm0289073,2,John Fox Jr.,577610,Writing,0.6
nm0566752,2,Horace McCoy,82838,Writing,1.4
nm0841214,2,Lev Sverdlin,237434,Acting,1.4
nm0231056,2,Aleksey Dolinin,1309694,Acting,0.6
nm0546245,0,Samad Mardanov,1442632,Directing,0.6
nm0591748,0,Klimenti Mints,1086668,Writing,1.4
nm0028826,2,Robert Hardy Andrews,121090,Writing,1.932
nm0148575,1,Phyllis Fraser,980032,Acting,1.166
nm0446593,2,Lew Kelly,34332,Acting,1.708
nm0181825,2,Douglas Cosgrove,980368,Acting,1.148
nm0942611,2,Mack V. Wright,88718,Directing,0.648
nm0688853,0,Joseph F. Poland,33959,Writing,0.648
nm0505921,2,Nat Levine,88984,Production,0.6
nm0633695,2,William Nobles,32183,Camera,0.6
nm0415742,0,Robert Jahns,133468,Editing,0.6
nm0240120,1,Doris Dudley,290159,Acting,0.6
nm0843477,0,Netta Syrett,1355256,Writing,0.6
nm0134662,2,Eddie Cantor,121018,Acting,1.15
nm0553149,2,Tony Martin,94803,Acting,1.4
nm0950019,2,Roland Young,14685,Acting,1.796
nm0947386,2,Jack Yellen,1043023,Writing,1.4
nm0869999,2,Gene Towne,284695,Writing,1.646
nm0519556,0,Frederick Lonsdale,1041606,Writing,0.6
nm0501872,2,Melchior Lengyel,2498,Writing,1.4
nm0575427,0,Russell G. Medcraft,1275386,Writing,0.6
nm0408586,1,Frieda Inescort,82383,Acting,2.112
nm0163617,2,Al Clark,117774,Editing,0.6
nm0195422,0,Alexander D'Arcy,77159,Acting,2.188
nm0725017,2,Arthur Richman,978582,Writing,1.052
nm0402554,1,Marsha Hunt,1215925,Acting,1.456
nm0666273,0,John Patterson,1200195,Acting,0.648
nm0059106,2,Charles Barton,30099,Directing,1.646
nm0340719,2,Zane Grey,557979,Writing,1.4
nm0622435,0,Jack Natteford,121281,Writing,1.736
nm0442105,2,Charles Kaufman,139317,Writing,1.052
nm0946923,2,Paul Yawitz,138467,Writing,1.768
nm0794964,1,Viola Brothers Shore,1159598,Writing,0.6
nm2032875,2,David Garth,2060066,Writing,0.6
nm0805756,1,Tess Slesinger,592459,Writing,1.4
nm0285199,0,Bradbury Foote,103688,Writing,0.776
nm0614278,2,George Murphy,103366,Acting,1.417
nm0166974,2,E. E. Clive,2930,Acting,2.572
nm0397397,2,John Howard,102687,Acting,1.4
nm0132682,1,Louise Campbell,120439,Acting,1.4
nm0573937,2,Herman C. McNeile,117692,Writing,1.166
nm0005794,2,William C. Mellor,18744,Camera,0.6
nm0808571,2,James Smith,8821,Editing,0.6
nm0356004,2,Porter Hall,14975,Acting,1.798
nm0003373,2,James P. Hogan,117691,Directing,0.6
nm0790357,2,William Shea,29598,Editing,0.98
nm0222164,2,Jacques Deval,26884,Writing,0.6
nm0385264,2,James Hilton,33273,Writing,0.98
nm0241414,2,Alexandre Dumas fils,148077,Writing,1.932
nm0456017,2,Rudyard Kipling,14744,Writing,1.4
nm0276065,1,Virginia Field,83477,Acting,2.256
nm0128332,2,Jerome Cady,120546,Writing,1.4
nm0006152,0,Samuel Kaylin,120469,Sound,0.6
nm0218490,1,Katherine DeMille,93226,Acting,1.057
nm0601733,1,Pauline Moore,120759,Acting,0.766
nm0485226,2,Allan Lane,120807,Acting,1.837
nm0121228,0,Paul Burger,120806,Writing,0.6
nm0111297,2,J. Edward Bromberg,89999,Acting,1.195
nm0037734,0,Art Arthur,120541,Writing,1.4
nm0116953,1,Jane Bryan,93973,Acting,1.4
nm0254690,2,Hans Rameau,14858,Writing,0.888
nm0258493,2,Julius J. Epstein,2665,Writing,1.388
nm0550701,2,Alan Marshal,78854,Acting,2.26
nm0309117,0,Waclaw Gasiorowski,1355975,Writing,0.6
nm0000021,1,Joan Fontaine,3360,Acting,2.597
nm0937289,0,P. G. Wodehouse,116513,Writing,0.6
nm0656039,2,Ernest Pagano,108795,Writing,1.052
nm0891998,2,Conrad Veidt,3001,Acting,1.423
nm0000046,1,Vivien Leigh,10538,Acting,2.475
nm0306978,1,Joan Gardner,142724,Acting,1.094
nm0767701,2,Victor Saville,14860,Directing,1.076
nm0005941,2,Richard Addinsell,37467,Sound,0.6
nm0685265,2,Robert Pirosh,70980,Writing,1.4
nm0780833,2,George Seaton,24939,Writing,1.708
nm0057412,1,Wendy Barrie,106089,Acting,1.4
nm0455549,0,Sidney Kingsley,86652,Writing,0.6
nm0185170,2,Morgan Cox,32177,Writing,1.4
nm0126049,2,Ralph Byrd,127520,Acting,0.611
nm0400728,0,Kay Hughes,90073,Acting,1.138
nm0122470,0,Smiley Burnette,90072,Acting,1.646
nm0885628,2,Lee Van Atta,1048129,Acting,0.6
nm0416258,0,Alan James,202174,Directing,1.646
nm0332333,0,Chester Gould,1238714,Writing,0.6
nm0794088,2,Barry Shipman,161984,Writing,1.4
nm0588003,2,Winston Miller,30287,Writing,1.669
nm0723422,1,Florence Rice,123120,Acting,2.667
nm0911518,2,Edward Ward,101711,Sound,0.6
nm0016422,2,Luis Alberni,30264,Acting,1.4
nm0143837,2,Vera Caspary,20122,Writing,1.4
nm0532277,2,Niall MacGinnis,93163,Acting,1.4
nm0160779,1,Belle Chrystall,1023533,Acting,1.4
nm0491406,2,John Laurie,3673,Acting,0.747
nm0077541,2,Eric Berry,95226,Acting,1.094
nm0003836,2,Michael Powell,68424,Directing,1.4
nm0734169,2,Joe Rock,1030826,Production,1.4
nm0002627,2,Monty Berman,133868,Production,0.6
nm0446877,0,Skeets Kelly,1337774,Camera,0
nm0658254,2,Ernest Palmer,1202863,Camera,1.38
nm0754942,2,Sabu,71784,Acting,2.086
nm0391373,2,W.E. Holloway,1015100,Acting,0.6
nm0399648,2,Walter Hudd,85936,Acting,0.694
nm0420011,2,Allan Jeayes,95027,Acting,0.69
nm0466113,2,Zoltan Korda,65852,Directing,1.22
nm0866183,2,Ákos Tolnay,5001,Writing,0.6
nm0325785,0,Harold Goldman,149110,Writing,0.748
nm0388743,0,Monckton Hoffe,556501,Writing,0.996
nm0446763,1,Patsy Kelly,12025,Acting,1.315
nm0727109,0,Lawrence Riley,1302257,Writing,0.6
nm0555674,2,Samuel Marx,22597,Writing,1.4
nm0001682,2,Mickey Rooney,1937,Acting,2.628
nm0124947,2,Hugo Butler,22596,Writing,1.38
nm0887858,1,Kay Van Riper,959728,Writing,1.018
nm0733460,1,Flora Robson,30126,Acting,3.604
nm0556571,2,A.E.W. Mason,56959,Writing,0.6
nm0634402,0,Sergei Nolbandov,1152676,Writing,0.98
nm0509073,1,Renée Lichtig,1121232,Editing,0.6
nm0006158,2,Joseph Kosma,11555,Sound,0.652
nm0559300,2,Christian Matras,11556,Camera,0.6
nm0178259,2,Melville Cooper,8730,Acting,0.694
nm0006037,2,Adolph Deutsch,4100,Sound,1.4
nm0419279,1,Sybil Jason,583695,Acting,1.4
nm0005844,2,Günther Rittau,71,Camera,1.286
nm0050249,0,Mireille Balin,94949,Acting,0.6
nm0262004,0,Pierre Etchepare,544943,Acting,0.6
nm0693814,2,Henri Poupon,543929,Acting,1.4
nm0344927,2,Jean Grémillon,238377,Directing,1.588
nm0079532,0,André Beucler,1121834,Writing,0.6
nm0687402,0,Raoul Ploquin,1427869,Production,0.6
nm0005981,0,Lothar Brühne,52076,Sound,0.6
nm0573865,0,Allen McNeil,14649,Editing,0.6
nm0819983,1,Johanna Spyri,129693,Writing,0.98
nm0485537,1,Rosemary Lane,33021,Acting,1.593
nm0907003,2,Jerry Wald,29098,Production,1.228
nm0502424,0,Maurice Leo,592977,Writing,0.98
nm0483787,1,Dorothy Lamour,83400,Acting,1.4
nm0549132,2,J. Peverell Marley,98501,Camera,1.4
nm0000747,2,Don Ameche,18156,Acting,1.24
nm0360122,0,Maurice Hanline,1168878,Writing,0.6
nm0606998,2,Wayne Morris,14565,Acting,1.4
nm1383748,0,Francis Wallace,565333,Writing,0.618
nm0054787,2,Geoffrey Barkas,1060311,Directing,0.6
nm0389580,2,Michael Hogan,231131,Writing,1.495
nm0888479,1,Irene Vanbrugh,940114,Acting,0.6
nm0518239,2,Herbert Lomas,231088,Acting,1.094
nm0833117,0,Rose Stradner,101704,Acting,1.4
nm0524995,2,Edward Ludwig,101709,Directing,2.207
nm0308604,2,Robert Carson,30522,Writing,1.052
nm0814216,1,Gale Sondergaard,25173,Acting,1.187
nm0706993,2,Norman Reilly Raine,67427,Writing,1.4
nm0378431,0,Heinz Herald,114367,Writing,0.6
nm0378773,0,Geza Herczeg,232198,Writing,0.6
nm0430763,0,Matthew Josephson,145842,Writing,0.6
nm0943553,1,Jane Wyatt,2021,Acting,2.68
nm0006323,2,Dimitri Tiomkin,4082,Sound,1.566
nm0047810,1,Fay Bainter,20366,Acting,2.948
nm0492854,0,Josephine Lawrence,223263,Writing,0.6
nm0495270,0,Nolan Leary,103911,Acting,1.214
nm0402683,0,Otto Hunte,13887,Art,0.6
nm0002161,2,Hans Albers,2899,Acting,1.554
nm0004464,2,Heinz Rühmann,12745,Acting,1.435
