,gender,name,id,known_for_department,popularity
nm0178114,2,Jackie Cooper,55278,Acting,2.272
nm0723658,1,Irene Rich,14871,Acting,1.4
nm0040374,2,Roscoe Ates,1509,Acting,1.646
nm0896542,2,King Vidor,29962,Directing,1.711
nm0875746,1,Wanda Tuchock,1010628,Writing,1.943
nm0549905,0,Don Marquis,1435346,Writing,0.6
nm0043138,2,Gordon Avil,106502,Camera,0.6
nm0800302,2,Michel Simon,12748,Acting,1.4
nm0546516,1,Janie Marèse,95769,Acting,0.6
nm0280961,2,Georges Flamant,1658,Acting,0.98
nm0719756,2,Jean Renoir,11528,Directing,1.614
nm0478579,0,Georges de La Fouchardière,999828,Writing,0.6
nm0610207,0,André Mouézy-Éon,999829,Writing,0.6
nm0105886,2,Pierre Braunberger,18196,Production,1.532
nm0005676,2,Edward Cronjager,89218,Camera,0.972
nm0228715,2,Richard Dix,88671,Acting,1.4
nm0002050,1,Irene Dunne,77158,Acting,1.451
nm0852347,0,Estelle Taylor,128966,Acting,1.4
nm0642042,1,Nance O'Neil,129038,Acting,0.98
nm0749484,2,Wesley Ruggles,21311,Directing,1.4
nm0272209,1,Edna Ferber,18739,Writing,1.798
nm0261455,2,Howard Estabrook,88579,Writing,1.708
nm0765037,0,Louis Sarecky,1372529,Production,0.6
nm0495461,2,William LeBaron,120449,Production,0.652
nm0000122,2,Charlie Chaplin,13848,Acting,3.745
nm0156039,1,Virginia Cherrill,13852,Acting,1.4
nm0616729,2,Harry Myers,13854,Acting,1.052
nm0139714,0,Harry Carr,1358394,Writing,0.6
nm0188357,2,Harry Crocker,147963,Acting,1.38
nm0689661,2,Gordon Pollock,13849,Crew,0.6
nm0005906,2,Roland Totheroh,14020,Camera,0.98
nm0317224,1,Wynne Gibson,94306,Acting,1.265
nm0000011,2,Gary Cooper,4068,Acting,2.089
nm0796662,1,Sylvia Sidney,528,Acting,1.943
nm0510134,2,Paul Lukas,2092,Acting,1.737
nm0101954,2,"William ""Stage"" Boyd",104017,Acting,1.388
nm0541149,2,Rouben Mamoulian,29595,Directing,1.4
nm0358591,2,Dashiell Hammett,5165,Writing,1.4
nm0545730,0,Max Marcin,105449,Writing,1.09
nm0308177,2,Oliver H.P. Garrett,86404,Writing,0.84
nm0005716,2,Lee Garmes,13338,Camera,0.6
nm0001076,1,Joan Crawford,31550,Acting,3.391
nm0249893,2,Cliff Edwards,30236,Acting,1.23
nm0883199,2,Lester Vail,952387,Acting,1.4
nm0049055,2,William Bakewell,2015,Acting,1.826
nm0746168,0,Aurania Rouverol,1072714,Writing,1.66
nm0003546,2,Charles Rosher,9080,Camera,1.62
nm0387000,0,George C. Hively,1182098,Editing,0.98
nm0473134,2,Hanns Kräly,42063,Writing,1.036
nm0354313,2,William Haines,150638,Acting,2.134
nm0700723,0,Irene Purcell,148512,Acting,0.652
nm0335749,1,Charlotte Granville,99327,Acting,0.6
nm0176699,2,Jack Conway,82413,Directing,2.14
nm0257040,0,Alexander Engel,18548,Acting,1.4
nm0345102,0,Alfred Grünwald,50978,Writing,1.4
nm0369038,2,Frederic Hatton,1170327,Writing,0.84
nm0369036,1,Fanny Hatton,1170326,Writing,0.6
nm0059497,2,Max Barwyn,945918,Acting,0.989
nm0000017,1,Marlene Dietrich,2896,Acting,2.035
nm0572142,2,Victor McLaglen,30495,Acting,1.145
nm0167032,2,Gustav von Seyffertitz,13345,Acting,1.22
nm0903049,2,Josef von Sternberg,2891,Directing,1.96
nm0748034,0,Daniel Nathan Rubin,568984,Writing,0.6
nm0168595,2,Lew Cody,150191,Acting,0.652
nm0636161,2,Barry Norton,148852,Acting,1.4
nm0287124,2,Garrett Fort,29807,Writing,1.4
nm0151377,1,Helen Chandler,1548,Acting,1.208
nm0543115,2,David Manners,2125,Acting,1.4
nm0296859,2,Dwight Frye,1549,Acting,1.534
nm0115218,2,Tod Browning,1496,Directing,2.059
nm0005713,2,Karl Freund,70,Camera,1.4
nm0831290,2,Bram Stoker,1544,Writing,1.648
nm0213019,0,Hamilton Deane,1545,Writing,0.6
nm0049721,2,John L. Balderston,1546,Writing,1.566
nm0898107,0,Carlos Villarías,580218,Acting,1.008
nm0869830,1,Lupita Tovar,148518,Acting,1.4
nm0959363,0,Pablo Álvarez Rubio,580219,Acting,0.6
nm0577654,2,George Melford,931194,Directing,1.286
nm0869801,0,Enrique Tovar Ávalos,931193,Directing,0.98
nm0273239,0,Baltasar Fernández Cué,1352224,Writing,0.98
nm0623873,2,Seymour Nebenzal,13902,Production,0.994
nm0286993,2,Rudolf Forster,37675,Acting,1.052
nm0502322,1,Lotte Lenya,9898,Acting,1.009
nm0624552,1,Carola Neher,222228,Acting,1.4
nm0778306,2,Reinhold Schünzel,4344,Acting,2.114
nm0655065,2,G.W. Pabst,13899,Directing,1.408
nm0106517,2,Bertolt Brecht,11630,Writing,1.632
nm0486797,0,Léo Lania,224443,Writing,0.648
nm0883335,2,Ladislaus Vajda,13901,Writing,1.4
nm0051354,2,Béla Balázs,224442,Writing,1.38
nm0912106,2,Frank Ware,29998,Editing,0.6
nm0550620,1,Marian Marsh,96740,Acting,1.216
nm0912478,2,H.B. Warner,33278,Acting,1.556
nm0124236,2,Anthony Bushell,96758,Acting,1.642
nm0919380,0,Louis Weitzenkorn,128397,Writing,1.4
nm0604526,2,Byron Morgan,128398,Writing,0.6
nm0005835,2,Sol Polito,8714,Camera,0.6
nm0599766,2,Douglass Montgomery,118802,Acting,0.84
nm0001366,2,Leslie Howard,11493,Acting,2.174
nm0403595,1,Fannie Hurst,549597,Writing,1.4
nm0950224,2,A.P. Younger,1313116,Writing,1.38
nm0055604,2,George Barnes,3356,Camera,0.676
nm0004290,1,Margaret Booth,72067,Editing,0.694
nm0166972,2,Colin Clive,2923,Acting,1.052
nm0164883,1,Mae Clarke,29814,Acting,2.29
nm0000472,2,Boris Karloff,2922,Acting,1.79
nm0092900,2,John Boles,29815,Acting,1.4
nm0001843,2,James Whale,2917,Directing,1.166
nm0791217,1,Mary Shelley,28970,Writing,1.778
nm0916811,1,Peggy Webling,29805,Writing,0.6
