,tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,f_acting,f_creative,f_crew,m_acting,m_creative,m_crew,f_acting_frac,f_creative_frac,f_crew_frac,total_ppl,f_frac,m_frac,bechdel
2689,tt0052378,War of the Colossal Beast,1958.0,69.0,"Horror,Sci-Fi",3.7,1705.0,1.0,0.0,0.0,3.0,1.0,2.0,0.25,0.0,0.0,7.0,0.14285714285714285,0.8571428571428571,No info
2690,tt0052415,The Young Lions,1958.0,167.0,"Action,Drama,War",7.2,7023.0,1.0,0.0,0.0,3.0,3.0,2.0,0.25,0.0,0.0,9.0,0.1111111111111111,0.8888888888888888,No info
2691,tt0052427,Tom Thumb,1958.0,98.0,"Family,Fantasy,Musical",6.5,2189.0,1.0,0.0,0.0,3.0,4.0,1.0,0.25,0.0,0.0,9.0,0.1111111111111111,0.8888888888888888,No info
2692,tt0052530,4D Man,1959.0,85.0,"Action,Horror,Romance",5.8,1564.0,1.0,0.0,0.0,3.0,4.0,2.0,0.25,0.0,0.0,10.0,0.1,0.9,No info
2693,tt0052543,Al Capone,1959.0,104.0,"Biography,Crime,Drama",6.8,1442.0,1.0,0.0,0.0,3.0,2.0,1.0,0.25,0.0,0.0,7.0,0.14285714285714285,0.8571428571428571,No info
2694,tt0052545,Alias Jesse James,1959.0,92.0,"Comedy,Romance,Western",6.5,1165.0,2.0,0.0,0.0,2.0,2.0,0.0,0.5,0.0,0.0,6.0,0.3333333333333333,0.6666666666666666,No info
2695,tt0052549,The Alligator People,1959.0,74.0,"Horror,Mystery,Sci-Fi",5.6,1649.0,1.0,0.0,0.0,3.0,3.0,0.0,0.25,0.0,0.0,7.0,0.14285714285714285,0.8571428571428571,No info
2696,tt0052556,The Lovers,1958.0,90.0,"Drama,Romance",7.2,4495.0,2.0,0.0,0.0,2.0,1.0,3.0,0.5,0.0,0.0,8.0,0.25,0.75,No info
2697,tt0052561,Anatomy of a Murder,1959.0,161.0,"Crime,Drama,Mystery",8.0,56659.0,1.0,0.0,0.0,3.0,3.0,3.0,0.25,0.0,0.0,10.0,0.1,0.9,failed: women did not talk to each other
2698,tt0052564,The Angry Red Planet,1959.0,83.0,"Adventure,Horror,Sci-Fi",5.3,2718.0,1.0,0.0,0.0,3.0,1.0,2.0,0.25,0.0,0.0,7.0,0.14285714285714285,0.8571428571428571,No info
2699,tt0052572,The World of Apu,1959.0,105.0,Drama,8.5,10679.0,1.0,0.0,0.0,3.0,1.0,2.0,0.25,0.0,0.0,7.0,0.14285714285714285,0.8571428571428571,failed: less than two women
2700,tt0052587,The Atomic Submarine,1959.0,72.0,"Sci-Fi,Thriller",5.2,1299.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,No info
2701,tt0052600,Ballad of a Soldier,1959.0,88.0,"Drama,Romance,War",8.2,9045.0,2.0,0.0,0.0,2.0,0.0,1.0,0.5,0.0,0.0,5.0,0.4,0.6,No info
2702,tt0052602,The Bat,1959.0,80.0,"Horror,Mystery,Thriller",6.1,3996.0,1.0,1.0,0.0,3.0,2.0,1.0,0.25,0.3333333333333333,0.0,8.0,0.25,0.75,No info
2703,tt0052607,The Battle of the Sexes,1960.0,84.0,Comedy,6.7,1100.0,1.0,0.0,0.0,3.0,3.0,3.0,0.25,0.0,0.0,10.0,0.1,0.9,No info
2704,tt0052609,Beast from Haunted Cave,1959.0,72.0,"Crime,Horror,Thriller",4.3,1518.0,1.0,0.0,0.0,3.0,3.0,2.0,0.25,0.0,0.0,9.0,0.1111111111111111,0.8888888888888888,No info
2705,tt0052611,The Giant Behemoth,1959.0,80.0,"Action,Adventure,Drama",5.8,2200.0,1.0,0.0,0.0,3.0,4.0,0.0,0.25,0.0,0.0,8.0,0.125,0.875,No info
2706,tt0052618,Ben-Hur,1959.0,212.0,"Adventure,Drama,History",8.1,210958.0,1.0,0.0,0.0,3.0,5.0,0.0,0.25,0.0,0.0,9.0,0.1111111111111111,0.8888888888888888,No info
2707,tt0052619,The Best of Everything,1959.0,121.0,"Drama,Romance",6.5,1708.0,3.0,1.0,0.0,1.0,3.0,0.0,0.75,0.25,0.0,8.0,0.5,0.5,No info
