tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,f_acting,f_creative,f_crew,m_acting,m_creative,m_crew,f_acting_frac,f_creative_frac,f_crew_frac,total_ppl,f_frac,m_frac
tt0178737,Mansfield Park,1999.0,112.0,"Comedy,Drama,Romance",7.1,21032.0,2.0,3.0,1.0,2.0,0.0,2.0,0.5,1.0,0.3333333333333333,10.0,0.6,0.4
tt0178868,Ringu,1998.0,96.0,"Horror,Mystery",7.2,61051.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,6.0,0.6666666666666666,0.3333333333333333
tt0179098,Moonlight Mile,2002.0,117.0,"Drama,Romance",6.6,13231.0,2.0,0.0,2.0,2.0,2.0,2.0,0.5,0.0,0.5,10.0,0.4,0.6
tt0179116,But I'm a Cheerleader,1999.0,85.0,"Comedy,Drama,Romance",6.6,24524.0,3.0,3.0,0.0,1.0,1.0,1.0,0.75,0.75,0.0,9.0,0.6666666666666666,0.3333333333333333
tt0179183,Fortress 2,2000.0,92.0,"Action,Sci-Fi",4.6,6309.0,1.0,0.0,0.0,3.0,2.0,1.0,0.25,0.0,0.0,7.0,0.14285714285714285,0.8571428571428571
tt0179626,15 Minutes,2001.0,120.0,"Action,Crime,Drama",6.1,47468.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,10.0,0.0,1.0
tt0179634,Alice in the Navy,1961.0,90.0,"Comedy,Musical,Romance",6.3,1623.0,1.0,0.0,0.0,3.0,2.0,2.0,0.25,0.0,0.0,8.0,0.125,0.875
tt0179890,Ypolohagos Natassa,1970.0,136.0,"Drama,War",5.7,880.0,1.0,0.0,0.0,3.0,1.0,2.0,0.25,0.0,0.0,7.0,0.14285714285714285,0.8571428571428571
tt0179955,Cat City,1986.0,96.0,"Adventure,Animation,Comedy",8.4,9092.0,1.0,0.0,0.0,3.0,0.0,1.0,0.25,0.0,0.0,5.0,0.2,0.8
tt0180052,The Adventures of Pluto Nash,2002.0,95.0,"Action,Comedy,Sci-Fi",3.8,23831.0,1.0,0.0,0.0,3.0,3.0,1.0,0.25,0.0,0.0,8.0,0.125,0.875
tt0180073,Quills,2000.0,124.0,"Biography,Drama",7.3,50335.0,1.0,1.0,0.0,3.0,4.0,1.0,0.25,0.2,0.0,10.0,0.2,0.8
tt0180093,Requiem for a Dream,2000.0,102.0,Drama,8.3,734796.0,2.0,0.0,0.0,2.0,3.0,2.0,0.5,0.0,0.0,9.0,0.2222222222222222,0.7777777777777778
tt0180274,Unhinged,1982.0,79.0,Horror,5.0,1513.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0
tt0180396,Goodbye Uncle Tom,1971.0,136.0,Drama,6.6,1307.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0
tt0180734,Hardball,2001.0,106.0,"Drama,Sport",6.4,27345.0,1.0,0.0,0.0,3.0,3.0,1.0,0.25,0.0,0.0,8.0,0.125,0.875
tt0180735,I hartopaihtra,1964.0,94.0,Comedy,7.3,1242.0,3.0,0.0,0.0,1.0,2.0,3.0,0.75,0.0,0.0,9.0,0.3333333333333333,0.6666666666666666
tt0180748,In China They Eat Dogs,1999.0,91.0,"Action,Comedy,Crime",7.4,19193.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0
tt0180749,And the Woman Shall Fear Her Husband,1965.0,105.0,"Comedy,Drama",7.8,1663.0,2.0,0.0,0.0,2.0,1.0,1.0,0.5,0.0,0.0,6.0,0.3333333333333333,0.6666666666666666
