tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes
tt0357585,Decoys,Decoys,2004.0,95.0,"Horror,Sci-Fi",nm0368602,"nm0368602,nm0077686",4.6,4452.0
tt0357668,Sky Kids,The Flyboys,2008.0,118.0,"Action,Adventure,Drama",nm0222566,"nm0371462,nm0222563,nm0222566,nm0244756",6.9,2997.0
tt0358082,Robots,Robots,2005.0,91.0,"Adventure,Animation,Comedy","nm0917188,nm0757858","nm0593856,nm0572151,nm1865755,nm0304665,nm0541632",6.3,127958.0
tt0358135,Shall We Dance,Shall We Dance,2004.0,106.0,"Comedy,Drama,Music",nm0155093,"nm0839397,nm0920108",6.1,42166.0
tt0358273,Walk the Line,Walk the Line,2005.0,136.0,"Biography,Drama,Music",nm0003506,"nm0143599,nm0219456,nm0003506,nm1789517",7.8,225746.0
tt0358294,Into the Sun,Into the Sun,2005.0,97.0,"Action,Thriller",nm1367563,"nm0000219,nm1546172,nm1428007",4.4,6844.0
tt0358349,Agent Cody Banks 2: Destination London,Agent Cody Banks 2: Destination London,2004.0,100.0,"Action,Adventure,Comedy",nm0020728,"nm1155510,nm0958969,nm0783346,nm0722610",4.5,13581.0
tt0358456,Earthlings,Earthlings,2005.0,95.0,"Documentary,Horror",nm0598671,nm0598671,8.7,17034.0
tt0359013,Blade: Trinity,Blade: Trinity,2004.0,113.0,"Action,Adventure,Fantasy",nm0333060,"nm0333060,nm0938379,nm0170160",5.9,161401.0
tt0359045,Bear Cub,Cachorro,2004.0,100.0,"Comedy,Drama",nm0016234,"nm0016234,nm0305850",7.0,3458.0
tt0359423,A Home at the End of the World,A Home at the End of the World,2004.0,97.0,"Drama,Romance",nm1555287,nm1259728,6.7,13003.0
tt0359517,Johnson Family Vacation,Johnson Family Vacation,2004.0,97.0,Comedy,nm1348558,"nm5333675,nm0427993",4.5,7050.0
tt0359692,When the Last Sword Is Drawn,Mibu gishi den,2002.0,143.0,Drama,nm0847690,"nm0038271,nm0620064",7.5,4632.0
tt0359715,My Best Friend's Birthday,My Best Friend's Birthday,1987.0,90.0,Comedy,nm0000233,"nm0357326,nm0000233",5.7,3799.0
